Unnamed: 0.1,recruitment_title,url,career,education,due_date,company_name,jobs,skills,created_at,updated_at,company_id,company_size,company_introduction,company_sales,company_url,company_img_url,company_addr
10,[전주지역]PC 및 주변기기 설치 & 유지보수 직원채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44433417,경력무관,학력무관,06/10(월),㈜크레온유니티,하드웨어개발자,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
11,[창원지역]PC 및 주변기기 설치 & 유지보수 직원채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44512710,경력무관,학력무관,06/21(금),㈜크레온유니티,하드웨어개발자,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
12,[을지로] 고객사상주 PC 및 OA기기 유지보수(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44433072,경력무관,학력무관,06/10(월),㈜크레온유니티,네트워크엔지니어,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
13,[여의도] 금융기관 상주 IT헬프데스크 모집(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44565556,경력무관,학력무관,06/28(금),㈜크레온유니티,네트워크엔지니어,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
14,[인천지역]PC 및 주변기기 설치 & 유지보수 직원채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44616910,경력무관,학력무관,07/06(토),㈜크레온유니티,하드웨어개발자,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
15,[수원지역]PC 및 주변기기 설치 & 유지보수 직원채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44629543,경력무관,학력무관,07/07(일),㈜크레온유니티,하드웨어개발자,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
16,[강남지역]PC 및 주변기기 설치 & 유지보수 직원채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44565519,경력무관,학력무관,06/28(금),㈜크레온유니티,하드웨어개발자,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
17,정보시스템 이전 경력 PM/사업관리자/TA/PL 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44530322,경력 (5년이상),학력무관,05/23(목),㈜시스원,시스템엔지니어,명시되어있지않음,2024-05-10 11:29:05.429802+09,2024-05-10 11:29:05.429803+09,523.0,중소기업,,"1,178억6천만원(2023.12.31)",http://www.sysone.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/3/20/JK_CO_xaiO5cF24032014214772.png?v=202405031717,서울강서구마곡중앙14로26(마곡동)시스원
18,공공기관 PC 유지관리 및 자산관리 인력 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44491681,경력 (3년이상),학력무관,05/18(토),㈜시스원,시스템엔지니어,명시되어있지않음,2024-05-10 11:29:05.429802+09,2024-05-10 11:29:05.429803+09,523.0,중소기업,,"1,178억6천만원(2023.12.31)",http://www.sysone.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/3/20/JK_CO_xaiO5cF24032014214772.png?v=202405031717,서울강서구마곡중앙14로26(마곡동)시스원
19,x86서버 운영 관리 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44436380,경력,학력무관,05/11(토),㈜시스원,시스템엔지니어,명시되어있지않음,2024-05-10 11:29:05.429802+09,2024-05-10 11:29:05.429803+09,523.0,중소기업,,"1,178억6천만원(2023.12.31)",http://www.sysone.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/3/20/JK_CO_xaiO5cF24032014214772.png?v=202405031717,서울강서구마곡중앙14로26(마곡동)시스원
20,공공기관 네트워크 운영 및 유지관리 인력 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44427743,신입·경력,학력무관,05/09(목),㈜시스원,시스템엔지니어,명시되어있지않음,2024-05-10 11:29:05.429802+09,2024-05-10 11:29:05.429803+09,523.0,중소기업,,"1,178억6천만원(2023.12.31)",http://www.sysone.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/3/20/JK_CO_xaiO5cF24032014214772.png?v=202405031717,서울강서구마곡중앙14로26(마곡동)시스원
21,수지 SRT 시스템 및 네트워크 관제 운영,https://www.jobkorea.co.kr//Recruit/GI_Read/44395216,경력무관,학력무관,06/04(화),위쉬정보기술㈜,"시스템엔지니어,네트워크엔지니어","window,linux,네트워크관리사자격",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
22,용산전자랜드쇼핑몰운영 java,https://www.jobkorea.co.kr//Recruit/GI_Read/44394750,경력무관,학력무관,06/04(화),위쉬정보기술㈜,"웹개발자,앱개발자","java,oracle,tibero",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
23,파주 물류분석설계 react,https://www.jobkorea.co.kr//Recruit/GI_Read/44385039,경력무관,학력무관,06/03(월),위쉬정보기술㈜,웹개발자,"msa,react,restfulapi",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
24,문래 GS홈쇼핑 주문업무 운영 및 개발,https://www.jobkorea.co.kr//Recruit/GI_Read/44382114,경력무관,학력무관,06/02(일),위쉬정보기술㈜,웹개발자,"java,jsp,react,spring",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
25,의왕 NH 농협 Campaign 개발 java vue.js,https://www.jobkorea.co.kr//Recruit/GI_Read/44360621,신입·경력 (1년이상),학력무관,05/31(금),위쉬정보기술㈜,"프론트엔드개발자,웹개발자","java,vue.js",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
26,청주 SK 시스템 개발 java,https://www.jobkorea.co.kr//Recruit/GI_Read/44377171,신입·경력 (1년이상),학력무관,06/02(일),위쉬정보기술㈜,"프론트엔드개발자,웹개발자",java,2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
27,가산 SPC 키오스크 개발 c# WPF,https://www.jobkorea.co.kr//Recruit/GI_Read/44377136,경력무관,학력무관,06/02(일),위쉬정보기술㈜,"웹개발자,앱개발자",".net,c#,pos,wpf",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
28,"성수 국민연금ITACS 구축 java, Kotlin, JPA",https://www.jobkorea.co.kr//Recruit/GI_Read/44338952,신입·경력 (1년이상),학력무관,05/28(화),위쉬정보기술㈜,"웹개발자,앱개발자","java,jpa,kotlin",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
29,명동  교보생명 PMO,https://www.jobkorea.co.kr//Recruit/GI_Read/44400160,경력무관,학력무관,06/04(화),위쉬정보기술㈜,"웹개발자,앱개발자","java,jsp,pmo",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
30,상일동 삼성엔지니어링 벡앤드개발  java,https://www.jobkorea.co.kr//Recruit/GI_Read/44380210,경력무관,학력무관,06/02(일),위쉬정보기술㈜,"웹개발자,앱개발자",java,2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
31,여의도 DB금융투자 모바일앱 운영 IOS,https://www.jobkorea.co.kr//Recruit/GI_Read/44401470,신입·경력 (1년이상),학력무관,06/04(화),위쉬정보기술㈜,앱개발자,"ios,objective-c",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
32,서울역 이마트 디지털맵 및 대시보드 개발 next.js,https://www.jobkorea.co.kr//Recruit/GI_Read/44624935,신입·경력 (1년이상),학력무관,07/06(토),위쉬정보기술㈜,"웹개발자,프론트엔드개발자",next.js,2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
33,서울역 LG전자 개인정보보호 담당자 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44416436,경력무관,학력무관,06/07(금),위쉬정보기술㈜,"웹개발자,앱개발자",erp,2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
34,을지로 한화 QIS MES 개발 java Nexacro  Tibero,https://www.jobkorea.co.kr//Recruit/GI_Read/44420193,경력무관,학력무관,06/08(토),위쉬정보기술㈜,"웹개발자,앱개발자","java,jsp,tibero,nexacro",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
35,야탑 SRT 시스템 및 네트워크 관제 운영,https://www.jobkorea.co.kr//Recruit/GI_Read/44438987,경력무관,학력무관,06/10(월),위쉬정보기술㈜,"시스템엔지니어,네트워크엔지니어","window,linux,네트워크관리사자격",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
36,카카오골프(판교) IOS 개발 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44571415,경력무관,학력무관,06/28(금),위쉬정보기술㈜,"웹개발자,앱개발자","ios,swift",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
37,동대문 두산 .net 프로그램 유지보수 및 개발,https://www.jobkorea.co.kr//Recruit/GI_Read/44235364,경력무관,학력무관,05/14(화),위쉬정보기술㈜,"웹개발자,앱개발자",".net,c#,pos",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
38,여의도 교보증권 SE운영,https://www.jobkorea.co.kr//Recruit/GI_Read/44588379,경력무관,학력무관,06/30(일),위쉬정보기술㈜,"시스템엔지니어,네트워크엔지니어","window,linux",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
39,여의도 KB카드 운영,https://www.jobkorea.co.kr//Recruit/GI_Read/44598000,경력무관,학력무관,07/01(월),위쉬정보기술㈜,"시스템엔지니어,네트워크엔지니어","aws,window,linux,네트워크관리사자격",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
40,충정로 동아사이언스 개발 운영 PHP,https://www.jobkorea.co.kr//Recruit/GI_Read/44617131,경력무관,학력무관,07/06(토),위쉬정보기술㈜,"웹개발자,앱개발자","msa,php",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
41,당산 삼성화재 Figma 디자이너 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44623744,경력 (1년이상),학력무관,07/06(토),위쉬정보기술㈜,웹퍼블리셔,"figma,디자인",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
42,마포 KCP차세대 ERP구축 AA java,https://www.jobkorea.co.kr//Recruit/GI_Read/44326785,경력무관,학력무관,05/26(일),위쉬정보기술㈜,"웹개발자,앱개발자","java,jsp,oracle,spring,nexacro,aa",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
43,역삼 디지털통합물류시스템 구축 java vue,https://www.jobkorea.co.kr//Recruit/GI_Read/44581061,신입·경력 (1년이상),학력무관,06/29(토),위쉬정보기술㈜,"웹개발자,프론트엔드개발자","java,vue.js",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
44,여의도 푸본현대생명 그룹웨어 운영 C#,https://www.jobkorea.co.kr//Recruit/GI_Read/44401510,경력무관,학력무관,06/04(화),위쉬정보기술㈜,"웹개발자,앱개발자","asp.net,c#,mssql",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
45,서울숲 현대글로비스 IOS,https://www.jobkorea.co.kr//Recruit/GI_Read/44320865,신입·경력 (1년이상),학력무관,05/26(일),위쉬정보기술㈜,앱개발자,"ios,objective-c",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
46,증미 LG전자 웹컨텐츠 운영 java react,https://www.jobkorea.co.kr//Recruit/GI_Read/44395814,경력무관,학력무관,06/04(화),위쉬정보기술㈜,웹개발자,"java,react",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
47,상암 방송리빌딩 업무 개발 java react next.js,https://www.jobkorea.co.kr//Recruit/GI_Read/44312475,경력무관,학력무관,05/25(토),위쉬정보기술㈜,"웹개발자,앱개발자","java,jsp,react,spring,next.js",2024-05-10 11:29:05.429834+09,2024-05-10 11:29:05.429835+09,525.0,중소기업,,80억,http://www.wishit.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/7/29/JK_CO_xf6vWeg22072910550737.JPG?v=202405031718,서울구로구구로동222-7코오롱디지털타워빌란트1차311호
