,industry,company_name,company_size,company_sales,company_url,company_img_url,company_addr
41,미디어.광고업>연예.엔터테인먼트,휴먼아이엠씨,중소기업,13억7천만원(2018.12.31),http://www.humanimc.co.kr,명시되어있지않음,대구수성구들안로78길16
42,미디어.광고업>연예.엔터테인먼트,얼리버드엔터테인먼트,중소기업,"6억5,149만원(2022.12.31)",명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/6/2934d00dRq_hXfcjq8o3a2j4520q0jdYjUl_rwzg9e5qdq.png?v=202405021558&hash=r&serviceCode=CL,서울특별시성동구성수동1가13-12이에스에이리버하우스
43,미디어.광고업>연예.엔터테인먼트,도베엔터테인먼트,중소기업,"9억8,865만원(2014.12.31)",http://www.mydobe.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/3/2j5aj009Dx_cGdqch2a3v2lx0fjFeOc_sgqajx.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구논현동65-121층
44,미디어.광고업>연예.엔터테인먼트,아이노케이,중소기업,"9억2,262만원(2020.12.31)",명시되어있지않음,명시되어있지않음,"서울송파구충민로10(문정동,가든파이브툴)3층B56/57/58"
45,미디어.광고업>연예.엔터테인먼트,스타메카엔터테인먼트,중소기업,24억1천만원(2020.12.31),http://www.starmecca.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2011/12/2i7px00aRv_lKaxop8wj3i24v0gxYnIz_ovno2xv.jpg?v=202405021558&hash=r&serviceCode=CL,"서울강남구논현로152길21(신사동,디오사옥)6층(신사동,디오사옥)"
46,미디어.광고업>연예.엔터테인먼트,㈜에이치비엔터테인먼트,중소기업,335억3천만원(2023.12.31),http://www.hbenter.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/8/09/JK_CO_45PgaIq22080910060753.png?v=202405021558,서울강남구언주로170길22(신사동)4층
47,미디어.광고업>연예.엔터테인먼트,비전그룹,중소기업,명시되어있지않음,http://www.vision-inc.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2021/7/25/2d9j600bX3_5Ga8a6ci2n3g2130h6V2Rs_x5k24d63.png?v=202405021558&hash=r&serviceCode=CL,"경기부천시상일로96(상동,세원빌딩)4층"
48,미디어.광고업>연예.엔터테인먼트,프로시마뮤직엔터테인먼트,중소기업,10억7천만원(2021.12.31),http://prossima.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2009/12/2f3te008Rj_cXrlqxf3a2wj0eeYwUc_oq2ej.jpg?v=202405021558&hash=r&serviceCode=CL,"서울강서구양천로551-24(가양동,한화비즈메트로2차)308호"
49,미디어.광고업>연예.엔터테인먼트,데이드림,중소기업,"1억7,742만원(2023.12.31)",http://daydream.kr,명시되어있지않음,"서울영등포구여의대방로65길20,신관701호(여의도동,호성신관)"
50,미디어.광고업>연예.엔터테인먼트,(주)뮤직앤뉴,중소기업,116억9천만원(2023.12.31),http://www.its-new.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/9/2370z00aRe_iK9w8x8i23424e0gzYxIo_6f3a2ze.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구논현동105-7두산빌딩8층
51,미디어.광고업>연예.엔터테인먼트,제니스미디어콘텐츠,중소기업,"1억8,729만원(2016.12.31)",http://www.zmcie.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/2/2w7ab005Rz_iK2q2i2jz0bbYoIa_bz.gif?v=202405021558&hash=r&serviceCode=CL,"서울강남구논현로748(논현동,세화빌딩)2층"
52,미디어.광고업>연예.엔터테인먼트,그룹티아이,중소기업,명시되어있지않음,http://www.ti-group.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2019/13/2b1ks007Pl_oWhv2w3e2rl0dsMgSt_djsl.gif?v=202405021558&hash=r&serviceCode=CL,"서울서초구잠원동13-7신사제2빌딩2층,3층,4층"
53,미디어.광고업>연예.엔터테인먼트,휴메이저이엔티,중소기업,12억4천만원(2022.12.31),명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/4/2858s009Dz_dG8v8a2v3927z0fsFcOs_4e0jsz.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구언주로151길12(신사동)도로시빌딩2층
54,미디어.광고업>연예.엔터테인먼트,에이스펙코퍼레이션,중소기업,"7억4,260만원(2018.12.31)",http://aspeckorea.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/12/2k7jn00aRx_aKfplbniy3o2px0gnYtIo_gxaj2nx.png?v=202405021558&hash=r&serviceCode=CL,서울강남구삼성로126길12(삼성동)6층
55,미디어.광고업>연예.엔터테인먼트,㈜윌엔터테인먼트 (Will Entertainment),중소기업,31억3천만원(2019.12.31),http://www.willent.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/12/2j57m009Da_gGdw0s2a3v27a0fmFgOc_si0sma.JPG?v=202405021558&hash=r&serviceCode=CL,"서울강남구도산대로217(신사동,강남빌딩)3층"
56,미디어.광고업>연예.엔터테인먼트,점프엔터테인먼트,중소기업,명시되어있지않음,http://www.jumpent.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/9/2935p008Rb_eX6r8tl3129b0epYoU8_9z2pb.jpg?v=202405021558&hash=r&serviceCode=CL,"서울마포구월드컵로190(성산동,이안상암Ⅱ)901호"
57,미디어.광고업>연예.엔터테인먼트,지엠그룹,중소기업,명시되어있지않음,http://www.euphoriaseoul.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2014/7/2q98j00bXf_nGompt6g2d3623f0hjVbRk_ao2z9ljf.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구논현동97-7502호
58,미디어.광고업>연예.엔터테인먼트,넘버나인엔터테인먼트,중소기업,"4억4,585만원(2020.12.31)",http://-,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/7/25129007P0_9W2520312000d9M1S7_1690.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구논현동211-19
59,미디어.광고업>연예.엔터테인먼트,글로벌엔터피아,중소기업,"1억8,100만원(2022.12.31)",http://www.nterpia.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2014/2/2l3wi008Rk_jXrd5cq3a20k0eiYdUe_qs2ik.jpg?v=202405021558&hash=r&serviceCode=CL,서울강남구신사동561-9동문빌딩502호
60,미디어.광고업>연예.엔터테인먼트,씨그널엔터테인먼트그룹,중소기업,155억9천만원(2018.12.31),http://www.signal-ent.com,명시되어있지않음,"서울송파구송파대로201,제에이동지129-1,214호"
61,미디어.광고업>연예.엔터테인먼트,스타커리어엔터테인먼트,중소기업,"9억5,536만원(2018.12.31)",명시되어있지않음,명시되어있지않음,"서울강남구도산대로50길13,4층"
62,미디어.광고업>연예.엔터테인먼트,디지털수다,중소기업,"2억1,094만원(2020.12.31)",명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2023/6/12/JK_CO_wReE0Oa23061215132884.JPG?v=202405021559,"서울중구다산로138(신당동,로즈앤라임빌딩(RNL))4층"
63,미디어.광고업>연예.엔터테인먼트,이루파트너스,중소기업,명시되어있지않음,http://e.weibo.com/konamande,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2010/11/2a5iy009Dx_wGcfaj2z3q2nx0fyFdOt_jgwnyx.gif?v=202405021559&hash=r&serviceCode=CL,서울강남구논현동214-12세은비쥬빌딩4층
64,미디어.광고업>연예.엔터테인먼트,엘디엘컴퍼니,중소기업,86억6천만원(2018.12.31),http://www.ldlpeople.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/5/2b7cs00aRq_oKzlnlkkw3p2uq0gsYsIg_tdji2sq.gif?v=202405021559&hash=r&serviceCode=CL,"서울서초구강남대로99길45(잠원동,엠빌딩)1층"
65,미디어.광고업>연예.엔터테인먼트,루트엔터테인먼트,중소기업,명시되어있지않음,명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2013/7/29/2731j008Rw_kX8q4xs3926w0ejYwU7_6x2jw.jpg?v=202405021559&hash=r&serviceCode=CL,서울강남구논현동15-8
66,미디어.광고업>연예.엔터테인먼트,글러브엔터테인먼트,중소기업,"7억6,973만원(2020.12.31)",http://gloveent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/9/2059b009Dg_pG5p4g2a3624g0fbFxOc_9s1ubg.jpeg?v=202405021559&hash=r&serviceCode=CL,서울용산구한남대로20길21-15(한남동)A동
67,미디어.광고업>연예.엔터테인먼트,유열컴퍼니,중소기업,11억3천만원(2014.12.31),http://www.yooyeol.kr,명시되어있지않음,"서울서초구사평대로140,10층"
68,미디어.광고업>연예.엔터테인먼트,아시아트리뷴,중소기업,44억4천만원(2018.12.31),http://www.marketnews.co.kr/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/7/20/2g9dp00bXc_wGeqkpaq2u3i2mc0hpVdRp_wjsujcpc.png?v=202405021559&hash=r&serviceCode=CL,"서울강남구언주로732(논현동,세종빌딩)3층"
69,미디어.광고업>연예.엔터테인먼트,월간윤종신,중소기업,명시되어있지않음,명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/13/2o5jt009Do_sGuzdx2i3a2vo0ftFfOa_cksvto.PNG?v=202405021559&hash=r&serviceCode=CL,서울용산구한남대로20길41(한남동)1층
70,미디어.광고업>연예.엔터테인먼트,블루드래곤엔터테인먼트,중소기업,14억2천만원(2014.12.31),명시되어있지않음,명시되어있지않음,"서울강남구압구정로20길15,405호"
71,미디어.광고업>연예.엔터테인먼트,인넥스트트렌드,중소기업,명시되어있지않음,명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/1/12/JK_CO_9dlxha422011217392896.jpg?v=202405021559,서울강남구논현동23-14그랑빌103호
72,미디어.광고업>연예.엔터테인먼트,피프티원케이,중소기업,39억8천만원(2020.12.31),http://www.51k.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/11/2g5ak009Da_sGxrcr2k3j2fa0fkFkOo_diyvka.jpg?v=202405021559&hash=r&serviceCode=CL,서울강남구논현동259-12
73,미디어.광고업>연예.엔터테인먼트,팀지엠피,중소기업,"1,143만원(2016.12.31)",http://-,명시되어있지않음,서울송파구백제고분로12길17(잠실동)2층
74,미디어.광고업>연예.엔터테인먼트,오션스타모델에이전시,중소기업,34억1천만원(2022.12.31),http://oceanstarmodel.co.kr/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/2/23/JK_CO_5aZtVmF24022314214801.jpg?v=202405021559,서울강남구논현로134길9(논현동)신창빌딩5층
75,미디어.광고업>연예.엔터테인먼트,스포엔터미디어,중소기업,"7억7,923만원(2021.12.31)",http://star.mbn.co.kr/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2014/6/2t34l008Rb_rX5o4qa3026b0elYjUo_3z2lb.jpg?v=202405021559&hash=r&serviceCode=CL,서울강남구논현동277-20아모제논현빌딩5층
76,미디어.광고업>연예.엔터테인먼트,㈜바인엔터테인먼트,중소기업,11억6천만원(2022.12.31),http://www.vine-ent.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/9/2d1ii007Pd_mWjg2i3d2kd0diMjSm_hrid.jpg?v=202405021559&hash=r&serviceCode=CL,서울강남구테헤란로53길40(역삼동)
77,미디어.광고업>연예.엔터테인먼트,콘텐츠판다,중견기업,303억2천만원(2023.12.31),http://www.its-new.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2021/2/03/2534s008R-_2X8u0923928-0esY8U9_3-2s-.jpg?v=202405021600&hash=r&serviceCode=CL,서울강남구학동로9길5(논현동)
78,미디어.광고업>연예.엔터테인먼트,엠지비엔터테인먼트,중소기업,14억8천만원(2016.12.31),명시되어있지않음,명시되어있지않음,"서울송파구송파대로167,A동312호"
79,미디어.광고업>연예.엔터테인먼트,뉴타입이엔티,중소기업,16억1천만원(2020.12.31),http://www.newtypeent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/4/2j7cj00aRa_vKtcazvub3j2va0gjYwIk_ajjv2ja.jpg?v=202405021600&hash=r&serviceCode=CL,서울성북구안암로1길62(보문동4가)3층
80,미디어.광고업>연예.엔터테인먼트,㈜케이플러스홀딩스,중소기업,명시되어있지않음,https://www.kplusholdings.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/8/25/JK_CO_SRRo1Gf22082510540753.png?v=202405021600,서울강남구논현동93-4YG케이플러스
